cluster_uid,target,sources,n_sources,method
646b2abb19ec,CRYAB,ATF3;CEBPD;FEZF1;FOS;FOSL2;HES5;JUN;KDM5D;MAFF;MYRF;NKX6-2;OTP;SOX10;ZEB2,14,exp03-coregnet
b9f9af00936f,CSF1R,ATF3;BCL6;BHLHE41;CEBPD;CREBL2;FEZF1;FOS;FOSL2;FOXJ1;JAZF1;KDM5D;MEIS3;MLXIPL;NFIL3;OTP;PEG3;RBFOX2;SIX3;SMARCA1;STAT1;STAT5B;XBP1,22,exp03-coregnet
cfc3536594f6,DUSP1,ATF3;CEBPD;EGR1;FEZF1;FOS;FOSL2;FOXJ1;HES1;JUN;JUNB;KDM5D;MAFF;MYRF;NR4A1;OTP;PEG3,16,exp03-coregnet
f5591bd040e9,FASN,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBZF;CTBP1;CTNNB1;DBP;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ELK1;ENO1;ERF;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HMGA1;HSF1;HSF2;HSF4;ING4;IRF9;JAZF1;JUND;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SND1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF692;ZNF76;ZSCAN18,94,exp03-coregnet
59ee26b9b003,GADD45B,ARID5A;ATF3;BCL6;CEBPB;CEBPD;EGR1;FOS;FOSL2;HES5;JUN;JUNB;MAFF;NFIL3;NR4A1;OTP;XBP1,16,exp03-coregnet
9d60e258f418,GSTP1,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ESRRA;EWSR1;FOXJ3;GTF2F1;HDAC3;HEY1;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NONO;NR1D2;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SRF;SSRP1;STAT1;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF219;ZNF692;ZNF76;ZSCAN18,92,exp03-coregnet
bb2054ec4dd0,HBA2,CEBPD;FEZF1;FOXJ1;HES5;KDM5D;OTP;PEG3,7,exp03-coregnet
2cb2aa584f35,HBB,CEBPD;FEZF1;HES5;KDM5D;OTP;PEG3,6,exp03-coregnet
13ab5135cf28,HLA-DRB1,ATF3;BCL6;BHLHE41;CEBPB;CEBPD;CREBL2;EGR1;FEZF1;FOS;FOSL2;FOXJ1;HMGA1;HSF2;JAZF1;JUN;JUNB;KDM5D;MAFF;MEIS3;MLXIPL;NFIL3;NR4A1;OTP;PEG3;RBFOX2;SIX3;SMARCA1;SND1;STAT1;STAT5B;XBP1,31,exp03-coregnet
23bf088f57c3,HLA-E,ARID5A;ATF3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;ERF;ETS2;FEZF1;FOS;FOSL2;HES5;HIF1A;HMGA1;ID1;IRF9;JUN;JUNB;KLF6;KLF9;LMO2;MAFF;NFIL3;NR4A1;OTP;PEG3;SND1;STAT3;XBP1,31,exp03-coregnet
ce8ea4f6d794,HSP90AA1,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;BHLHE41;CEBPG;CREBL2;CTBP1;CTNNB1;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;ENO1;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HIF1A;HMGA1;HMGB2;HSF1;HSF2;HTATIP2;ING4;JAZF1;JUND;KDM2A;LDB1;LRRFIP1;MAFG;MBD1;MEF2D;MLX;MTA3;NCOA1;NFE2L1;NFIL3;NONO;NR1D2;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SMARCA1;SMARCA5;SND1;SREBF2;SSRP1;STAT1;STAT2;STAT3;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;XBP1;ZFP90;ZGPAT;ZSCAN18,81,exp03-coregnet
df3c07089f19,HSPA1A,ATF3;EGR1;FEZF1;FOS;FOSL2;FOXJ1;JUN;JUNB;KDM5D;MAFF;NR4A1;OTP;PEG3;SIX3,14,exp03-coregnet
38dd0fd2089b,HSPA4,APEX1;ATF2;ATF6B;BCLAF1;CEBPG;CREBL2;CTBP1;CTNNB1;DEAF1;DMAP1;DRAP1;E2F4;ENO1;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HIF1A;HMGA1;HSF1;HSF2;ING4;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MEIS3;MLX;MTA3;NCOA1;NFE2L1;NONO;NR2F6;OTP;PBX1;PBX2;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SF1;SFPQ;SMARCA1;SND1;SREBF2;SSRP1;STAT1;STAT5B;TBL1XR1;TBPL1;TERF2;TFCP2;TFE3;THAP11;TRIM28;UBP1;USF1;XBP1;ZFP90;ZGPAT;ZSCAN18,70,exp03-coregnet
dd373cae00dc,ID3,ARID5A;ATF3;BCL6;BHLHE40;CEBPD;FEZF1;FOS;FOSL2;FOXJ1;HES5;ID1;JUN;JUNB;KDM5D;MAFF;NFIL3;NR4A1;OTP;PEG3;RFX4;STAT1,21,exp03-coregnet
16098ee591f7,MAT2A,APEX1;ATF2;ATF4;ATF6B;BCLAF1;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DDIT3;DMAP1;DRAP1;E2F4;E4F1;ENO1;ERF;ETS2;EWSR1;FOXJ3;GTF2F1;HDAC3;HEY1;HIF1A;HMGA1;HMGB2;HSF1;HSF2;ING4;IRF9;JAZF1;JUND;KDM2A;KLF16;KLF6;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NONO;NR1D2;PBX1;PBX2;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT3;STAT5B;TBL1XR1;TBPL1;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF189;ZNF692;ZNF76;ZSCAN18,94,exp03-coregnet
75993f9b51a6,MCL1,ARID5A;ATF3;BCL6;BCLAF1;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;ENO1;ERF;ETS2;FEZF1;FOS;FOSL2;HIF1A;HSF2;ID2;JUN;JUNB;JUND;KDM5D;KLF6;KLF9;MAFF;MLX;NFIL3;NR4A1;OTP;PEG3;SIX3;SND1;SOX2;STAT2;STAT3;STAT5B;TFE3;XBP1,38,exp03-coregnet
ac5441da77bc,NDRG1,ATF3;EGR1;FEZF1;FOXJ1;FOXO4;HES5;KDM5D;MYRF;NKX6-2;OLIG2;OTP;SIX3;SOX10;SOX8;ZEB2,15,exp03-coregnet
d29151ef3304,NFKBIA,ARID5A;ATF3;ATF4;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;ERF;ETS2;FOS;FOSL2;HES5;HIF1A;JUN;JUNB;KDM5D;KLF6;KLF9;LMO2;MAFF;NFIL3;NR1D1;NR4A1;OTP;SREBF1;STAT3;XBP1,29,exp03-coregnet
69d9072ecc37,OGA,APEX1;ATF2;ATF4;ATF6B;BCLAF1;BHLHE41;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;EWSR1;FOXJ3;GTF2F1;HDAC3;HEY1;HMGB2;HSF1;HSF2;ING4;IRF9;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAZ;MBD1;MEF2D;MEIS3;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR1D2;NR2F6;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZFP90;ZGPAT;ZNF189;ZNF219;ZNF692;ZNF76;ZSCAN18,88,exp03-coregnet
1ca7bc9c10e9,PCNA,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;BHLHE41;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ESRRA;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HEY1;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;KDM2A;KLF13;KLF16;LDB1;LRRFIP1;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NFIX;NONO;NR1D2;NR2F6;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF189;ZNF219;ZNF692;ZNF76;ZSCAN18,97,exp03-coregnet
27a9e0bfa01d,PDK4,ARID5A;ATF3;BCL6;CEBPB;CEBPD;EGR1;FEZF1;FOS;FOSL2;HES5;HIF1A;KDM5D;KLF15;KLF9;MAFF;MYRF;NFIL3;OTP;PEG3;SOX9;XBP1,21,exp03-coregnet
1010417fad06,PER1,ARID5A;ATF3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;ERF;FEZF1;FOS;FOSL2;HIF1A;HMGA1;HSF2;JAZF1;JUN;JUNB;JUND;KLF9;MAFF;NFIL3;NR1D1;NR4A1;OTP;PEG3;RBFOX2;SMARCA1;SOX9;STAT1;STAT5B;XBP1,32,exp03-coregnet
74aa657258af,PKD1,ATF2;ATF6B;BCLAF1;CIC;CREBL2;CTBP1;DEAF1;E2F4;E4F1;ELK1;FEZF1;FOXJ3;HDAC3;HMGA1;HSF2;HSF4;ING4;JAZF1;KDM2A;LDB1;LRRFIP1;MAFG;MBD1;MEF2D;MEIS3;MLX;MLXIPL;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR2F2;OTP;PBX1;PBX2;PEG3;PHF1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SIX3;SMARCA1;SND1;SREBF2;STAT1;STAT5B;TBPL1;TEF;TERF2;THRA;UBP1;USF1;ZGPAT;ZSCAN18,58,exp03-coregnet
b62b82c018ec,PRKACA,APEX1;ATF2;ATF6B;BCLAF1;CIC;CREBL2;CTBP1;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HSF1;HSF2;HSF4;ING4;JAZF1;KDM2A;LDB1;LRRFIP1;MAFG;MBD1;MEF2D;MEIS3;MLX;MTA3;MZF1;NCOA1;NFE2L1;NONO;NR2F6;OTP;PBX1;PBX2;PEG3;PHF1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SIX3;SMARCA1;SND1;SREBF2;SSRP1;STAT1;STAT5B;TBPL1;TERF2;TFE3;THAP11;TRIM28;UBP1;USF1;ZFP90;ZGPAT;ZSCAN18,66,exp03-coregnet
5e5a5e32d6be,SOCS3,ARID5A;ATF3;BCL6;CEBPD;EGR1;FEZF1;FOS;FOSL2;HES5;JUNB;KDM5D;MAFF;NFIL3;OTP;PEG3,15,exp03-coregnet
622075c9bccc,SOD2,APEX1;ARID5A;ATF2;ATF3;ATF4;ATF5;BCL6;BCLAF1;CEBPB;CEBPD;CEBPG;CREBZF;CTNNB1;DDIT3;ELK1;ENO1;ETS2;FEZF1;FOSL2;FOXJ3;GTF2F1;HDAC3;HES5;HIF1A;HMGA1;HMGB2;HSF1;HSF2;JAZF1;JUN;LMO2;LRRFIP1;MAFF;MAFG;MBD1;MEF2D;MLX;NFIL3;NONO;OTP;PBX3;PEG3;SMARCA1;SND1;SREBF2;STAT1;STAT3;TERF2;TFE3;THRA;UBP1;XBP1;ZSCAN18,53,exp03-coregnet
256a2602de7a,SPARC,ATF3;BCL6;CREBL2;EGR1;ELK1;FEZF1;FOS;FOXJ1;HES5;HEYL;HIF1A;HMGA1;HMGB2;HSF4;ID2;ID4;JAZF1;KDM5D;MAFF;MEIS3;MESP1;NFIL3;NR1D1;NR2F1;NR2F2;NR4A1;OTP;PEG3;RBFOX2;RFX4;RXRG;SALL2;SIX3;SMARCA1;SOX2;SOX9;SREBF2;STAT1;STAT5B;TBPL1,40,exp03-coregnet
4ceae812ba2f,SQSTM1,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBL2;CTBP1;CTNNB1;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ETS2;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HIF1A;HMGA1;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR2F6;OTP;PBX1;PBX2;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SRF;SSRP1;STAT1;STAT5B;TBPL1;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;XBP1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF219;ZNF76;ZSCAN18,88,exp03-coregnet
50f304bc0278,STMN1,APEX1;ATF2;ATF5;ATF6B;BCLAF1;BHLHE41;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;EWSR1;FOXJ3;GTF2F1;HDAC3;HSF1;HSF2;HSF4;HTATIP2;ING4;JAZF1;KDM2A;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MEIS3;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR1D2;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SMARCA1;SMARCA5;SND1;SREBF2;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB7A;ZFP90;ZGPAT;ZNF189;ZSCAN18,81,exp03-coregnet
175aaf3cc166,SUMO1,APEX1;ATF2;ATF6B;BCLAF1;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HEY1;HMGA1;HSF1;HSF2;ING4;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MEIS3;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR1D2;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SSRP1;STAT1;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZFP90;ZGPAT;ZNF219;ZNF692;ZNF76;ZSCAN18,86,exp03-coregnet
419fd8341186,TAGLN,ARID5A;ATF3;CEBPD;FEZF1;FOSL2;HES5;HMGA1;KDM5D;KLF9;MAFF;MYRF;NFIL3;NKX6-2;PEG3;STAT1;STAT2,16,exp03-coregnet
54f7293df82d,TIMP1,ARID5A;ATF3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;FEZF1;FOS;FOSL2;FOXJ1;HES5;HMGA1;JUN;JUNB;LMO2;MAFF;NFIL3;OTP;PEG3;SIX3;STAT1;STAT3;XBP1,25,exp03-coregnet
8b5df0a24a26,TIMP3,APEX1;ARID5A;ATF2;ATF5;ATF6B;BCLAF1;BHLHE40;CIC;CREBZF;CTBP1;DBP;DDIT3;DEAF1;DRAP1;E2F4;E4F1;ELK1;ENO1;ERF;ESRRA;ETS2;EWSR1;FEZF1;FOSL2;FOXJ3;GTF2F1;HDAC3;HES4;HEY1;HIF1A;HMGA1;HMGB2;HSF1;HSF2;ID2;ING4;IRF9;JAZF1;JUND;KDM2A;KLF15;KLF16;KLF9;LDB1;LMO2;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NFE2L1;NFIL3;NONO;NR1D2;NR2F1;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX4;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SMARCA1;SND1;SOX2;SREBF1;SREBF2;STAT1;STAT2;STAT3;STAT5B;TBPL1;TEF;TERF2;TFCP2;TFE3;THRA;TRIM28;UBP1;USF1;XBP1;ZBTB4;ZBTB7A;ZGPAT;ZSCAN18,97,exp03-coregnet
aca3613855ec,TKT,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ESRRA;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HEY1;HMGA1;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR2F6;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF219;ZNF692;ZNF76;ZSCAN18,92,exp03-coregnet
